"Statistic Label","Census Year","Sex","County of Usual Residence","UNIT","VALUE"
"Population 3 years and over","2022","Both sexes","State","Number","4975713"
"Population 3 years and over","2022","Both sexes","Carlow","Number","59931"
"Population 3 years and over","2022","Both sexes","Dublin City","Number","574971"
"Population 3 years and over","2022","Both sexes","Dún Laoghaire-Rathdown","Number","226477"
"Population 3 years and over","2022","Both sexes","Fingal","Number","318295"
"Population 3 years and over","2022","Both sexes","South Dublin","Number","290124"
"Population 3 years and over","2022","Both sexes","Kildare","Number","238680"
"Population 3 years and over","2022","Both sexes","Kilkenny","Number","100737"
"Population 3 years and over","2022","Both sexes","Laois","Number","88600"
"Population 3 years and over","2022","Both sexes","Longford","Number","45198"
"Population 3 years and over","2022","Both sexes","Louth","Number","134778"
"Population 3 years and over","2022","Both sexes","Meath","Number","212563"
"Population 3 years and over","2022","Both sexes","Offaly","Number","80333"
"Population 3 years and over","2022","Both sexes","Westmeath","Number","92826"
"Population 3 years and over","2022","Both sexes","Wexford","Number","158568"
"Population 3 years and over","2022","Both sexes","Wicklow","Number","150663"
"Population 3 years and over","2022","Both sexes","Clare","Number","123728"
"Population 3 years and over","2022","Both sexes","Cork City and Cork County","Number","564688"
"Population 3 years and over","2022","Both sexes","Kerry","Number","151592"
"Population 3 years and over","2022","Both sexes","Limerick City and County","Number","202763"
"Population 3 years and over","2022","Both sexes","Tipperary","Number","162319"
"Population 3 years and over","2022","Both sexes","Waterford City and County","Number","123428"
"Population 3 years and over","2022","Both sexes","Galway City","Number","82073"
"Population 3 years and over","2022","Both sexes","Galway County","Number","186508"
"Population 3 years and over","2022","Both sexes","Leitrim","Number","33936"
"Population 3 years and over","2022","Both sexes","Mayo","Number","133358"
"Population 3 years and over","2022","Both sexes","Roscommon","Number","67854"
"Population 3 years and over","2022","Both sexes","Sligo","Number","67925"
"Population 3 years and over","2022","Both sexes","Cavan","Number","78633"
"Population 3 years and over","2022","Both sexes","Donegal","Number","161435"
"Population 3 years and over","2022","Both sexes","Monaghan","Number","62729"
"Population 3 years and over","2022","Male","State","Number","2455828"
"Population 3 years and over","2022","Male","Carlow","Number","29774"
"Population 3 years and over","2022","Male","Dublin City","Number","282636"
"Population 3 years and over","2022","Male","Dún Laoghaire-Rathdown","Number","108267"
"Population 3 years and over","2022","Male","Fingal","Number","156290"
"Population 3 years and over","2022","Male","South Dublin","Number","141602"
"Population 3 years and over","2022","Male","Kildare","Number","118636"
"Population 3 years and over","2022","Male","Kilkenny","Number","50117"
"Population 3 years and over","2022","Male","Laois","Number","44601"
