"Statistic Label","Census Year","Age Group","Sex","Administrative Counties","Frequency of speaking Irish","Level of Irish Spoken","UNIT","VALUE"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","All Irish speakers","Speaks Irish - Total","Number","1873997"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","All Irish speakers","Speaks Irish - Very well","Number","195029"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","All Irish speakers","Speaks Irish - Well","Number","593898"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","All Irish speakers","Speaks Irish - Not well","Number","1034132"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","All Irish speakers","Ability to speak Irish, not stated","Number","50938"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within the education system only","Speaks Irish - Total","Number","551993"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within the education system only","Speaks Irish - Very well","Number","92189"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within the education system only","Speaks Irish - Well","Number","266469"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within the education system only","Speaks Irish - Not well","Number","185726"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within the education system only","Ability to speak Irish, not stated","Number","7609"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and daily outside the education system","Speaks Irish - Total","Number","20581"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and daily outside the education system","Speaks Irish - Very well","Number","15098"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and daily outside the education system","Speaks Irish - Well","Number","4299"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and daily outside the education system","Speaks Irish - Not well","Number","1029"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and daily outside the education system","Ability to speak Irish, not stated","Number","155"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Total","Number","5966"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Very well","Number","1601"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Well","Number","2790"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Not well","Number","1530"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and weekly outside the education system","Ability to speak Irish, not stated","Number","45"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and less often outside the education system","Speaks Irish - Total","Number","3751"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and less often outside the education system","Speaks Irish - Very well","Number","457"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and less often outside the education system","Speaks Irish - Well","Number","1365"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and less often outside the education system","Speaks Irish - Not well","Number","1883"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and less often outside the education system","Ability to speak Irish, not stated","Number","46"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and never outside the education system","Speaks Irish - Total","Number","1972"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and never outside the education system","Speaks Irish - Very well","Number","78"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and never outside the education system","Speaks Irish - Well","Number","437"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and never outside the education system","Speaks Irish - Not well","Number","1408"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily within and never outside the education system","Ability to speak Irish, not stated","Number","49"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily outside the education system only","Speaks Irish - Total","Number","51387"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily outside the education system only","Speaks Irish - Very well","Number","29573"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily outside the education system only","Speaks Irish - Well","Number","15512"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily outside the education system only","Speaks Irish - Not well","Number","5777"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish daily outside the education system only","Ability to speak Irish, not stated","Number","525"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Ireland","Speaks Irish weekly outside the education system only","Speaks Irish - Total","Number","109099"
