ed_name,county,all_irish_speakers,never_speaks_irish_outside_education_only,not_stated,speaks_irish_daily,speaks_irish_daily_education_only,speaks_irish_less_often,speaks_irish_weekly,share_daily_of_all,share_daily_education_only_of_all,share_weekly_of_all,share_less_often_of_all,share_never_outside_education_only_of_all,share_not_stated_of_all,share_daily_any_of_all
Abbey,Clare,222,56,3,5,46,96,16,0.02252252252252252,0.2072072072072072,0.07207207207207207,0.43243243243243246,0.25225225225225223,0.013513513513513514,0.22972972972972974
Abbey A,Limerick,1709,437,29,44,484,614,101,0.025746050321825628,0.2832065535400819,0.0590988882387361,0.35927442949093036,0.25570509069631364,0.016968987712112346,0.30895260386190754
Abbey B,Limerick,843,222,21,25,261,267,47,0.02965599051008304,0.3096085409252669,0.05575326215895611,0.3167259786476868,0.26334519572953735,0.02491103202846975,0.33926453143534996
Abbey C,Limerick,112,30,4,3,32,37,6,0.026785714285714284,0.2857142857142857,0.05357142857142857,0.33035714285714285,0.26785714285714285,0.03571428571428571,0.3125
Abbey D,Limerick,296,85,19,1,82,98,11,0.0033783783783783786,0.27702702702702703,0.037162162162162164,0.3310810810810811,0.28716216216216217,0.06418918918918919,0.28040540540540543
Abbey East,Galway County,236,58,3,6,69,91,9,0.025423728813559324,0.2923728813559322,0.038135593220338986,0.3855932203389831,0.2457627118644068,0.012711864406779662,0.3177966101694915
Abbey West,Galway County,375,85,11,19,119,116,25,0.050666666666666665,0.31733333333333336,0.06666666666666667,0.30933333333333335,0.22666666666666666,0.029333333333333333,0.368
Abbeydorney,Kerry,481,105,7,13,180,149,27,0.02702702702702703,0.37422037422037424,0.056133056133056136,0.3097713097713098,0.2182952182952183,0.014553014553014554,0.40124740124740127
Abbeyfeale,Limerick,933,278,25,25,237,320,48,0.02679528403001072,0.2540192926045016,0.05144694533762058,0.3429796355841372,0.2979635584137192,0.02679528403001072,0.2808145766345123
Abbeygormacan,Galway County,182,52,3,0,49,65,13,0.0,0.2692307692307692,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.016483516483516484,0.2692307692307692
Abbeylara,Longford,122,29,1,5,34,42,11,0.040983606557377046,0.2786885245901639,0.09016393442622951,0.3442622950819672,0.23770491803278687,0.00819672131147541,0.319672131147541
