GUID,GEOGID,GEOGDESC,Reference Geography,ED_GUID,ED_ID_STR,ED_ENGLISH,ED_GAEILGE,ED_OFFICIAL,LEA_GUID,CSO_LEA,LEA_ID,LEA_OFFICIAL,LA_GUID,LOCAL_AUTHORITY,LA_CODE,COUNTY,CONTAE,PROVINCE,NUTS3,NUTS3_NAME,NUTS2,NUTS2_NAME,NUTS1,NUTS1_NAME,Total - Females (Normalisation) ,Total - Males (Normalisation),Total Population (Normalisation),Occupied (Normalisation),Temporarily absent (Normalisation),Unoccupied holiday homes (Normalisation),Other vacant dwellings (Normalisation),Total dwellings (Normalisation),AREA,Area unit of measure,Shape__Area,Shape__Length,GUID,Yes,No,Not stated,Total,ObjectId
2ae19629-16a3-13a3-e055-000000000001,2ae19629-16a3-13a3-e055-000000000001,BALLYBROPHY,CSO ED-2022,2ae19629-16a3-13a3-e055-000000000001,107010,BALLYBROPHY,BAILE UÍ BHRÓITHE,N,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,104,119,223,72,0,1,6,79,9984000,Sq Metres,9983739.84869385,21753.7172880979,2ae19629-16a3-13a3-e055-000000000001,87,115,13,215,1
2ae19629-16a4-13a3-e055-000000000001,2ae19629-16a4-13a3-e055-000000000001,BALLYCARROLL,CSO ED-2022,2ae19629-16a4-13a3-e055-000000000001,107011,BALLYCARROLL,BAILE UÍ CHEARÚILL,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,194,204,398,127,3,1,9,140,10246000,Sq Metres,10245833.9381714,18234.1610563417,2ae19629-16a4-13a3-e055-000000000001,173,202,6,381,2
2ae19629-16a6-13a3-e055-000000000001,2ae19629-16a6-13a3-e055-000000000001,BALLYLEHANE,CSO ED-2022,2ae19629-16a6-13a3-e055-000000000001,107013,BALLYLEHANE,BAILE UÍ LIATHÁIN,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,99,104,203,73,0,0,6,79,6674000,Sq Metres,6674325.04290771,19128.5370227212,2ae19629-16a6-13a3-e055-000000000001,79,103,16,198,3
2ae19629-16ad-13a3-e055-000000000001,2ae19629-16ad-13a3-e055-000000000001,BALLICKMOYLER,CSO ED-2022,2ae19629-16ad-13a3-e055-000000000001,107006,BALLICKMOYLER,BAILE MHIC MHAOILIR,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,422,426,848,297,1,3,9,310,13889000,Sq Metres,13888634.3193665,20595.7649808084,2ae19629-16ad-13a3-e055-000000000001,330,427,53,810,4
2ae19629-16b0-13a3-e055-000000000001,2ae19629-16b0-13a3-e055-000000000001,BARROWHOUSE,CSO ED-2022,2ae19629-16b0-13a3-e055-000000000001,107016,BARROWHOUSE,TEACH NA BEARÚ,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,256,262,518,171,3,0,6,180,13004000,Sq Metres,13004343.8773804,19129.0252939402,2ae19629-16b0-13a3-e055-000000000001,252,247,6,505,5
2ae19629-16b4-13a3-e055-000000000001,2ae19629-16b4-13a3-e055-000000000001,CULLENAGH,CSO ED-2022,2ae19629-16b4-13a3-e055-000000000001,107037,CULLENAGH,CUILEANNACH,Y,2ae19629-3f00-13a3-e055-000000000001,PORTLAOISE,13100401,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,75,76,151,50,0,0,4,54,12435000,Sq Metres,12434932.1282043,17955.9045472895,2ae19629-16b4-13a3-e055-000000000001,61,75,13,149,6
2ae19629-16b5-13a3-e055-000000000001,2ae19629-16b5-13a3-e055-000000000001,CURRACLONE,CSO ED-2022,2ae19629-16b5-13a3-e055-000000000001,107038,CURRACLONE,CORRCHLUAIN,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,127,142,269,85,0,1,8,94,12765000,Sq Metres,12765010.8123169,20187.1953001825,2ae19629-16b5-13a3-e055-000000000001,107,146,5,258,7
2ae19629-16b6-13a3-e055-000000000001,2ae19629-16b6-13a3-e055-000000000001,DANGANS,CSO ED-2022,2ae19629-16b6-13a3-e055-000000000001,107039,DANGANS,NA DAINGIN,N,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,783,741,1524,462,1,1,18,482,11999000,Sq Metres,11999331.1163635,21781.0378003722,2ae19629-16b6-13a3-e055-000000000001,518,874,81,1473,8
2ae19629-16b9-13a3-e055-000000000001,2ae19629-16b9-13a3-e055-000000000001,DOONANE,CSO ED-2022,2ae19629-16b9-13a3-e055-000000000001,107042,DOONANE,AN DÚNÁN,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,403,441,844,295,5,2,17,319,14041000,Sq Metres,14040833.8274536,21307.8275551209,2ae19629-16b9-13a3-e055-000000000001,299,505,12,816,9
2ae19629-16bc-13a3-e055-000000000001,2ae19629-16bc-13a3-e055-000000000001,CAHER,CSO ED-2022,2ae19629-16bc-13a3-e055-000000000001,107021,CAHER,AN CHATHAIR,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,52,56,108,35,1,1,0,37,8338000,Sq Metres,8338423.97537231,14346.6172498686,2ae19629-16bc-13a3-e055-000000000001,53,55,0,108,10
2ae19629-16c2-13a3-e055-000000000001,2ae19629-16c2-13a3-e055-000000000001,CLASH,CSO ED-2022,2ae19629-16c2-13a3-e055-000000000001,107027,CLASH,AN CHLAIS,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,170,202,372,118,2,1,9,130,15136000,Sq Metres,15136309.928009,20233.0873382879,2ae19629-16c2-13a3-e055-000000000001,136,214,13,363,11
2ae19629-16c4-13a3-e055-000000000001,2ae19629-16c4-13a3-e055-000000000001,CLONDARRIG,CSO ED-2022,2ae19629-16c4-13a3-e055-000000000001,107029,CLONDARRIG,CLUAIN DEARG,Y,2ae19629-3f00-13a3-e055-000000000001,PORTLAOISE,13100401,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,1407,1346,2753,887,9,1,64,961,15190000,Sq Metres,15190181.6212769,19922.0796053353,2ae19629-16c4-13a3-e055-000000000001,912,1569,138,2619,12
2ae19629-16c5-13a3-e055-000000000001,2ae19629-16c5-13a3-e055-000000000001,CLONIN,CSO ED-2022,2ae19629-16c5-13a3-e055-000000000001,107030,CLONIN,AN CLUAINÍN,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,122,121,243,83,1,3,6,93,13270000,Sq Metres,13270431.3691406,20038.3171650165,2ae19629-16c5-13a3-e055-000000000001,98,126,12,236,13
